,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-763,9340,24195,46092,25624,28216,29115,12747,7146,49650,25747,29644
Cash from Investing Activity,-13056,-9294,-18594,-10215,-13610,-17684,-17119,-22569,-29101,-22935,-21294,-28030
Cash from Financing Activity,13103,352,-3116,-38283,-11890,-10937,-12007,10436,22456,-27369,-4058,-1794
Net Cash Flow,-716,398,2485,-2406,124,-405,-11,614,502,-653,395,-180
