,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,10,10,9,6,8,9,9,11,10,14,12,7
Inventory Days,64,59,61,46,54,87,77,64,59,111,84,59
Days Payable,33,30,34,29,31,41,40,34,24,49,37,27
Cash Conversion Cycle,42,39,36,23,31,55,46,41,45,76,59,40
Working Capital Days,39,43,31,5,2,-11,-3,9,7,-2,9,8
ROCE %,14,8,9,6,14,20,22,16,5,15,16,8
