,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,876,869,1195,1162,1299,1296,1371,1824,1656,1464,1634,2096
Cash from Investing Activity,-346,-477,-786,-518,-401,-716,-1294,-1113,-406,-1152,-1026,-1553
Cash from Financing Activity,-578,-382,-431,-635,-737,-475,-475,-596,-1222,-249,-603,-631
Net Cash Flow,-47,10,-22,9,160,104,-398,115,27,63,5,-88
