,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2932,3605,3818,3292,4171,5185,6059,5800,7623,9163,9048,9991
Cash from Investing Activity,-514,63,-475,138,-282,-1173,-1063,-438,1791,-1228,-1728,-1484
Cash from Financing Activity,-1726,-4147,-2960,-3462,-3864,-4214,-4975,-5390,-6819,-9309,-8015,-8953
Net Cash Flow,692,-480,383,-33,25,-202,21,-28,2595,-1374,-695,-446
