,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,964,3001,3238,5824,5257,4725,5101,5610,5598,7014,10233,8431
Cash from Investing Activity,-13474,-4064,-4700,-4737,-2692,-1212,-520,-984,-2304,-2188,774,1545
Cash from Financing Activity,12356,861,1631,-1144,-2713,-3539,-4600,-4663,-2377,-5655,-10338,-10408
Net Cash Flow,-154,-203,169,-58,-148,-26,-19,-37,917,-828,669,-433
