,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,277,356,492,654,732,853
Cash from Investing Activity,-988,791,-461,-770,-1133,-1167
Cash from Financing Activity,779,-1077,-102,39,422,295
Net Cash Flow,68,70,-71,-78,21,-19
