,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,36,41,38,32,29,30,32,32,29,36,39,27
Inventory Days,94,108,114,104,103,120,115,103,120,146,138,111
Days Payable,79,72,89,87,92,115,108,96,98,135,128,93
Cash Conversion Cycle,52,76,64,49,40,36,38,39,51,47,49,45
Working Capital Days,37,54,44,34,37,7,27,30,32,20,19,25
ROCE %,9,7,5,6,4,8,10,11,9,9,17,11
