,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,7547,2977,7956,7143,11688,12687,10898,11977,12745,17232,16838,19208
Cash from Investing Activity,-13220,-13801,-8095,-3873,-3220,-2876,5333,-5456,-7227,-25280,-6773,-7664
Cash from Financing Activity,6237,10278,1493,-2437,-8862,-5552,-16412,-5466,6656,-4882,-6765,-10345
Net Cash Flow,564,-545,1353,833,-394,4259,-181,1055,12174,-12930,3300,1199
