,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1907,5926,9588,20742,11119,9041,11068,10157,7881,23455,20336,12466
Cash from Investing Activity,-2276,-3604,-6881,-10536,-9233,-15274,-7066,-10451,-11135,-2474,-8138,-7806
Cash from Financing Activity,-4379,-846,-3736,-9792,-1332,4804,-4218,207,3583,-13981,-17672,-4402
Net Cash Flow,-4748,1476,-1029,414,555,-1429,-215,-87,329,7000,-5474,257
