,2012-06-01,2013-06-01,2014-06-01,2015-06-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2418,4492,6457,5539,3823,8995,8328,8971,13359,19618,16900,18009
Cash from Investing Activity,-1026,-2361,-4842,-2088,-2208,-3890,-2236,-3256,-12332,-5665,1597,-3573
Cash from Financing Activity,-1239,-2086,-1308,-3140,-2237,-4517,-5714,-1471,-3168,-11192,-14508,-15881
Net Cash Flow,153,44,307,311,-623,588,378,4244,-2141,2761,3989,-1445
