,2012-06-01,2013-06-01,2014-06-01,2015-06-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,68,64,65,65,91,64,70,71,73,85,88,92
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,68,64,65,65,91,64,70,71,73,85,88,92
Working Capital Days,9,15,10,29,64,38,59,49,27,52,48,47
ROCE %,31,41,45,40,28,34,31,31,27,26,25,28
