,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,46129,39874,53270,33950,46292,45780,56792,61458,70593,47185,78248,84211
Cash from Investing Activity,-38375,-41220,-63633,-30058,-38256,-43815,-66798,-37132,-53159,-39141,-41197,-72799
Cash from Financing Activity,102,-6927,15225,-10641,-8972,-1867,9909,-23324,-16726,-8239,-35790,-12916
Net Cash Flow,7856,-8273,4862,-6749,-935,99,-97,1001,708,-195,1261,-1504
