,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1713,1398,1563,1173,1741,2382,1463,1691,3068,3755,3326,3238
Cash from Investing Activity,-965,-2063,-1265,-950,-4533,-1304,-834,-1688,114,-2374,-1858,-2376
Cash from Financing Activity,-753,718,-266,165,3104,-1326,-385,-349,-2949,-1240,-1600,-958
Net Cash Flow,-6,53,33,388,312,-248,243,-345,234,141,-132,-97
