,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1099,820,1116,1027,847,1860,1723,1729,1588,2030,1451,2151
Cash from Investing Activity,-856,-865,-494,-1236,-622,-2243,-336,274,-552,-292,-844,-1754
Cash from Financing Activity,-7,282,-620,-12,-202,665,-1384,-2039,-1295,-1816,-380,-794
Net Cash Flow,235,237,1,-221,23,282,3,-36,-259,-79,227,-398
