,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,36,41,35,36,48,41,46,46,43,33,33,34
Inventory Days,124,126,111,102,123,125,135,125,146,127,128,84
Days Payable,121,125,127,103,140,152,201,204,212,149,130,99
Cash Conversion Cycle,38,43,20,34,32,13,-20,-33,-24,11,31,19
Working Capital Days,-10,-12,-28,-18,2,-13,-25,-11,-22,11,30,22
ROCE %,20,18,18,20,23,22,21,20,19,20,19,17
