,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,6394,7373,9825,8353,10028,11531,13218,14841,17003,23224,23885,22467
Cash from Investing Activity,-147,-2922,-2563,999,-885,-14664,4533,-632,-331,-7373,-6485,-1071
Cash from Financing Activity,-2322,-3210,-3144,-4935,-6813,-6939,-20505,-14512,-17591,-9786,-24642,-26695
Net Cash Flow,3925,1241,4118,4417,2330,-10072,-2754,-303,-919,6065,-7242,-5299
