,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-3574,-3754,-2447,-2264,-2809,-1468,-7926,-9317,-2075,-8848,-5571,-27105
Cash from Investing Activity,55,5,-83,-40,-137,-222,-60,-11,-54,-1746,1640,-2148
Cash from Financing Activity,3602,4067,2749,1819,3031,1692,8009,12191,2452,8707,5150,27466
Net Cash Flow,83,317,219,-485,85,2,22,2862,323,-1888,1218,-1787
