,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,487,464,470,83,936,689,354,-918,373,1151,-1575,-4405
Cash from Investing Activity,-507,-120,-235,-415,-605,-709,-1095,-1104,-1090,-882,-1471,-1308
Cash from Financing Activity,-36,-402,-216,261,-319,-59,897,2210,1619,264,2918,6118
Net Cash Flow,-56,-58,19,-71,12,-79,156,188,902,532,-128,406
