,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,30,34,34,31,33,36,36,34,34,43,41,32
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,30,34,34,31,33,36,36,34,34,43,41,32
Working Capital Days,-29,-98,-25,-31,9,-13,-11,-7,-23,12,12,14
ROCE %,21,8,6,11,15,10,13,12,13,13,13,18
