,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1597,1568,1355,2251,2550,2356,2764,2425,3610,2988,3167,3456
Cash from Investing Activity,-2832,-3725,-885,-1158,-911,-2122,-2418,-1828,-1129,-910,-2483,-3216
Cash from Financing Activity,1164,2090,437,-1206,-2163,-674,-311,-617,-2506,-2061,-502,-341
Net Cash Flow,-71,-67,908,-112,-523,-440,34,-20,-25,16,182,-101
