,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-6405,17494,6765,-12273,23645,52636,19383,48671,79565,138015,58111,-3771
Cash from Investing Activity,-21263,-18563,-15750,-13175,-12060,-1711,-50551,-30282,-42095,-63631,-39448,-67689
Cash from Financing Activity,29439,9283,7872,24827,5814,-35470,39676,-19997,2992,-54667,17451,24791
Net Cash Flow,1771,8215,-1113,-621,17399,15455,8508,-1608,40462,19718,36114,-46669
