company_id,year,roe_pct,roce_pct,de_ratio,icr
44,2018,,,,67.8
44,2019,,,,72.31
44,2020,,,,44.9
44,2021,,,,59.31
44,2022,,,,108.75
44,2023,,,,103.06
46,2012,,,,17.56
46,2013,,,,18.51
46,2014,,,,23.85
46,2015,,,,36.85
46,2016,,,,36.15
46,2017,,,,33.48
46,2018,,,,36.0
46,2019,,,,32.7
46,2020,,,,39.94
46,2021,,,,75.06
46,2022,,,,65.64
46,2023,,,,33.42
48,2012,,,,149.4
48,2013,,,,287.0
48,2014,,,,362.0
48,2015,,,,403.67
48,2016,,,,303.2
48,2017,,,,507.33
48,2018,,,,688.0
48,2019,,,,405.6
48,2020,,,,287.43
48,2021,,,,1462.0
48,2022,,,,1998.5
48,2023,,,,1357.0
50,2012,,,,1.99
50,2013,,,,1.69
50,2014,,,,1.47
50,2015,,,,1.53
50,2016,,,,1.67
50,2017,,,,1.54
50,2018,,,,4.1
50,2019,,,,1.42
50,2020,,,,1.6
50,2021,,,,2.17
50,2022,,,,3.1
50,2023,,,,5.21
52,2012,,,,21.38
52,2013,,,,28.15
52,2014,,,,26.94
52,2015,,,,34.89
52,2016,,,,46.75
52,2017,,,,41.97
52,2018,,,,31.72
52,2019,,,,39.99
52,2020,,,,32.11
52,2021,,,,43.39
52,2022,,,,45.03
52,2023,,,,52.03
54,2011,,,,91.38
54,2012,,,,171.5
54,2013,,,,101.0
54,2014,,,,122.3
54,2016,,,,1008.0
54,2017,,,,647.5
54,2018,,,,669.0
54,2019,,,,515.0
54,2020,,,,145.0
54,2021,,,,141.56
54,2022,,,,140.74
54,2023,,,,155.5
56,2018,,,,-3.29
56,2019,,,,0.96
56,2020,,,,2.02
56,2021,,,,5.31
56,2022,,,,4.06
56,2023,,,,3.78
58,2012,,,,21.21
58,2013,,,,19.03
58,2014,,,,13.8
58,2015,,,,10.09
58,2016,,,,6.41
58,2017,,,,14.21
58,2018,,,,29.66
58,2019,,,,73.31
58,2020,,,,41.48
58,2021,,,,56.3
58,2022,,,,89.53
58,2023,,,,28.13
60,2012,,,,15.27
60,2013,,,,13.67
60,2014,,,,10.26
60,2015,,,,12.96
60,2016,,,,10.9
60,2017,,,,12.88
60,2018,,,,13.68
60,2019,,,,10.48
60,2020,,,,9.59
60,2021,,,,17.55
60,2022,,,,20.39
60,2023,,,,13.6
62,2012,,,,41.6
62,2013,,,,98.67
62,2014,,,,89.5
62,2015,,,,68.0
62,2016,,,,6.9
62,2017,,,,3.88
62,2018,,,,1.89
62,2019,,,,2.55
62,2020,,,,3.33
62,2021,,,,0.64
62,2022,,,,4.22
62,2023,,,,5.71
64,2012,,,,20.13
64,2013,,,,20.83
64,2014,,,,12.28
64,2015,,,,8.51
64,2016,,,,10.07
64,2017,,,,12.06
64,2018,,,,3.28
64,2019,,,,2.44
64,2020,,,,2.53
64,2021,,,,3.45
64,2022,,,,4.62
64,2023,,,,4.19
66,2012,,,,5.46
66,2013,,,,7.28
66,2014,,,,7.96
66,2015,,,,8.36
66,2016,,,,19.18
66,2017,,,,65.92
66,2018,,,,45.2
66,2019,,,,82.06
66,2020,,,,23.02
66,2021,,,,19.73
66,2022,,,,28.87
66,2023,,,,32.71
68,2012,,,,27.28
68,2013,,,,56.72
68,2014,,,,76.42
68,2015,,,,105.63
68,2016,,,,101.69
68,2017,,,,128.75
68,2018,,,,180.81
68,2019,,,,85.45
68,2020,,,,35.46
68,2021,,,,41.05
68,2022,,,,67.7
68,2023,,,,67.95
70,2013,,,,
70,2014,,,,
70,2015,,,,
70,2016,,,,
70,2017,,,,
70,2018,,,,
70,2019,,,,
70,2020,,,,190.22
70,2021,,,,201.56
70,2022,,,,213.0
70,2023,,,,193.3
72,2012,,,,
72,2013,,,,
72,2014,,,,
