,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,326,142,-517,-938,453,174,-202,146,-282,696,1069,-2383
Cash from Investing Activity,-626,-833,715,-88,-121,-559,-592,-646,358,-591,-1390,1136
Cash from Financing Activity,-38,-76,-1,694,-204,335,651,839,-309,-116,1142,709
Net Cash Flow,-338,-767,197,-333,128,-50,-143,339,-233,-11,821,-539
