,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,23.0,13,32,24,23,22
Inventory Days,120.0,126,124,169,183,132
Days Payable,115.0,101,113,122,133,103
Cash Conversion Cycle,27.0,38,43,72,73,52
Working Capital Days,95.0,44,41,49,60,40
ROCE %,,22,36,33,30,21
