,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,540,537,960,983,821,1799
Cash from Investing Activity,-516,-306,-396,-1127,-1360,-1041
Cash from Financing Activity,8,-240,-559,89,579,-710
Net Cash Flow,31,-9,5,-55,40,48
