,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,13.0,18,16,20,16,29,19,27,27,29
Inventory Days,13.0,16,14,14,16,19,24,30,26,27
Days Payable,46.0,50,51,62,56,54,58,88,76,73
Cash Conversion Cycle,-19.0,-16,-20,-29,-24,-5,-15,-32,-23,-17
Working Capital Days,-33.0,-14,-11,-17,-14,8,-7,-17,-9,-4
ROCE %,,50,54,48,45,39,27,24,18,23
