,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2963,2186,3722,4007,4017,1032,5518,4110,2104,2614
Cash from Investing Activity,-1616,31,-2300,-1972,-1858,1298,-2819,-2289,-222,-421
Cash from Financing Activity,-1414,-2131,-1475,-2036,-2102,-2252,-2602,-1852,-1975,-2147
Net Cash Flow,-66,86,-53,-1,57,78,97,-31,-94,45
