,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,26,36,34,32,27,29,20,24,34,30,9,7
Inventory Days,246,268,284,314,181,185,191,146,207,196,130,87
Days Payable,86,83,151,133,129,150,162,117,181,133,94,69
Cash Conversion Cycle,186,222,166,213,79,64,50,53,60,92,45,24
Working Capital Days,52,98,51,94,63,-16,7,-21,-52,31,31,-2
ROCE %,18,12,8,5,-1,1,3,4,5,14,24,14
