,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-3849,-6922,-9807,-10731,-9795,-10922,-19580,-27076,-23369,4547,-33670,-39480
Cash from Investing Activity,-887,2953,3764,3709,-886,151,-922,-6903,-9948,-3684,1445,-13945
Cash from Financing Activity,3803,4592,6521,6839,11602,12513,19590,34535,34479,1687,32326,51016
Net Cash Flow,-933,623,478,-183,921,1742,-911,555,1162,2551,101,-2409
