,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2215,22,15601,17805,20377,18083,17366,23754,19300,23980,34963,33065
Cash from Investing Activity,-4724,-311,-2890,-4133,-7868,2681,15480,-10594,-5925,-6678,-2243,-668
Cash from Financing Activity,1726,238,-5052,-13956,-11303,-12425,-39255,-10242,-15547,-17565,-28903,-34142
Net Cash Flow,-784,-51,7659,-284,1206,8339,-6409,2918,-2172,-263,3817,-1745
