,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,74,42,39,32,46,40,36,35,31,36,38,39
Inventory Days,86,58,62,63,37,44,43,46,54,56,64,63
Days Payable,118,70,77,82,84,103,96,106,108,125,113,114
Cash Conversion Cycle,42,30,24,13,-1,-20,-17,-24,-23,-33,-11,-11
Working Capital Days,21,9,1,-1,4,4,6,2,-7,-9,0,2
ROCE %,11,15,23,25,24,21,18,15,10,7,6,9
