,2012-09-01,2013-09-01,2014-09-01,2015-09-01,2016-09-01,2017-09-01,2018-09-01,2019-09-01,2020-09-01,2021-09-01,2022-09-01,2023-09-01
Cash from Operating Activity,43,102,608,618,508,554,42,1212,676,1334,928,1179
Cash from Investing Activity,30,0,130,625,240,1313,-156,-1034,829,-2507,20,-659
Cash from Financing Activity,-259,-474,-220,-268,-1612,-260,-305,-311,-385,-320,-383,-440
Net Cash Flow,-186,-373,517,975,-864,1607,-420,-133,1121,-1494,565,80
