,2012-09-01,2013-09-01,2014-09-01,2015-09-01,2016-09-01,2017-09-01,2018-09-01,2019-09-01,2020-09-01,2021-09-01,2022-09-01,2023-09-01
Debtor Days,111,121,126,105,102,113,105,107,116,100,87,89.0
Inventory Days,70,68,78,69,68,70,73,71,100,98,98,95.0
Days Payable,196,187,202,172,150,181,194,214,250,215,197,169.0
Cash Conversion Cycle,-16,3,3,2,20,1,-16,-36,-35,-16,-12,15.0
Working Capital Days,7,17,25,19,31,34,50,47,50,37,19,30.0
ROCE %,20,6,10,19,16,16,18,19,12,14,15,
