,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,3163,1436,2616,1754,3597,3114,3933,5023,6493,5235,9310,11410
Cash from Investing Activity,-1462,451,-10064,-1992,-2677,-5865,1778,-578,-2207,-8517,-4192,-9130
Cash from Financing Activity,-2534,-687,6972,-2603,-871,2758,-5698,-940,-7331,3702,-5615,-2521
Net Cash Flow,-834,1201,-477,-2841,49,7,12,3504,-3045,420,-498,-241
