,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,39,33,18,87,49,39,48,35,29,38,25,24
Inventory Days,,,,,,,,,333,350,286,244
Days Payable,,,,,,,,,105,140,115,83
Cash Conversion Cycle,39,33,18,87,49,39,48,35,257,249,196,185
Working Capital Days,-9,20,45,55,67,32,10,-77,-139,47,24,26
ROCE %,30,28,17,13,12,10,10,15,15,13,21,25
