,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-840,-486,-4106,-1421,-2927,11569,-20700,-6389,-12039,44646,16600,-12438
Cash from Investing Activity,-141,-174,-174,-276,-258,-285,-217,-633,526,-226,-351,-441
Cash from Financing Activity,2496,1969,4200,5707,2517,-2768,15505,8590,12733,-4096,-4302,1115
Net Cash Flow,1515,1309,-79,4010,-667,8516,-5412,1568,1220,40324,11947,-11763
