,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2234,3357,3959,5616,6686,7082,3907,2196,6555,6170,8985,4959
Cash from Investing Activity,-748,-2375,-2176,-1502,-3949,-4186,-3104,-310,-2225,407,-5556,-7220
Cash from Financing Activity,-544,-665,507,-1187,-1889,-2285,-1539,-2731,-5715,-5980,-5193,2376
Net Cash Flow,942,316,2290,2927,848,611,-736,-844,-1386,596,-1765,115
