,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,19,16,17,11,15,15,20,26,27,18,25,38
Inventory Days,146,173,151,139,110,193,190,147,157,108,106,94
Days Payable,73,96,95,79,80,107,103,98,108,109,101,112
Cash Conversion Cycle,92,93,73,71,46,101,106,74,76,17,30,20
Working Capital Days,35,26,9,29,10,38,54,43,41,6,20,21
ROCE %,24,24,29,38,44,45,42,42,43,43,43,42
