,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,397,432,660,665,818,649,516,1062,1214,2007,1016,1419
Cash from Investing Activity,-352,-830,-202,-186,-203,-125,59,-367,-22,-933,441,-928
Cash from Financing Activity,-119,442,-339,-625,-601,-574,-567,-698,-1147,-1058,-1290,-560
Net Cash Flow,-74,44,119,-147,14,-51,8,-3,45,16,167,-69
