,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01,2021-12-01,2022-12-01
Cash from Operating Activity,1158,1693,1796,1644,1098,1466,1818,2052,2295,2454,2236,2737
Cash from Investing Activity,-1528,-941,-441,-432,-70,-126,-131,-52,83,-321,-1920,-392
Cash from Financing Activity,323,-513,-580,-1635,-498,-666,-997,-1317,-3602,-1956,-2020,-2123
Net Cash Flow,-47,239,775,-423,529,674,691,683,-1223,177,-1704,223
