,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,560,1251,2004,2733,-382,4114,1751,1666,1469,1822,367,1897
Cash from Investing Activity,-720,-522,-851,-1034,-6769,-2527,470,-3282,1107,-1240,1292,-1287
Cash from Financing Activity,109,-663,-857,-197,5836,433,-1492,744,-891,-1885,-1572,-337
Net Cash Flow,-51,66,296,1502,-1315,2019,729,-872,1685,-1303,87,273
