,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-267,84,295,311,219,428,325,-321,462,556,584,159
Cash from Investing Activity,135,65,-285,-104,-315,-73,-199,393,-210,-256,-365,-82
Cash from Financing Activity,-27,-60,-79,-236,48,-211,-181,-18,-294,-122,-107,55
Net Cash Flow,-159,89,-68,-29,-47,143,-55,53,-42,179,113,133
