,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,6468,1130,166,2711,5778,8525,10395,13473,19299,23878,21852,28656
Cash from Investing Activity,-4968,-227,-708,-178,-7204,-9032,-8910,-13552,-16986,-19203,-21611,-30203
Cash from Financing Activity,0,-58,-58,-117,-144,-144,-221,-241,-198,3,-231,-415
Net Cash Flow,1500,845,-600,2416,-1570,-651,1264,-321,2114,4677,10,-1962
