,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,6256,7102,7344,9843,9799,10627,13169,12583,14690,12527,15776,18878
Cash from Investing Activity,-2694,-3881,-3254,-5275,-3921,-3251,-7114,-5546,-6174,5740,-2238,-5732
Cash from Financing Activity,-3305,-3310,-4122,-4661,-5613,-7301,-6221,-6869,-8181,-18634,-13580,-13006
Net Cash Flow,257,-90,-32,-93,266,75,-166,169,334,-367,-43,139
