,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,8582,11690,15223,15800,15008,21575,22710,23271,30739,29403,26124,38005
Cash from Investing Activity,-18495,-22084,-26639,-24185,-21576,-23836,-25701,-18727,-10733,-9244,753,-6126
Cash from Financing Activity,8218,9962,13712,6399,5621,3959,1285,-2431,-18806,-20521,-28967,-29264
Net Cash Flow,-1695,-432,2295,-1986,-948,1698,-1707,2113,1199,-362,-2091,2615
