,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,18384,22163,36151,35531,37900,30199,23857,18891,26633,29001,14283,35388
Cash from Investing Activity,-19464,-22969,-27991,-36232,-36694,-39571,-25139,-20878,-33115,-25672,-4444,-15417
Cash from Financing Activity,6567,-1692,-3883,5201,-3795,6205,2012,8830,3390,9904,-3380,-26243
Net Cash Flow,5488,-2499,4277,4500,-2589,-3167,730,6843,-3092,13232,6459,-6272
