,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,11397,16508,16531,14889,24125,20167,19670,18686,23890,32444,41788,40052
Cash from Investing Activity,-9583,-16845,-15509,-15977,-19162,-24480,-20678,-24063,-29628,-21034,-22891,-26107
Cash from Financing Activity,-1583,988,-2709,-1474,-3899,3138,1028,4927,6004,-11049,-19172,-14154
Net Cash Flow,231,651,-1687,-2563,1064,-1176,19,-451,266,360,-274,-210
