,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-30114,24332,19142,26297,14477,77406,-96508,29556,23929,89919,57695,-86014
Cash from Investing Activity,169,-2271,-791,-3424,-2747,-4572,13053,220,-555,-3670,-2652,-966
Cash from Financing Activity,2209,-4424,3583,-1553,4348,-4196,5547,448,5430,7143,-3845,6386
Net Cash Flow,-27737,17637,21934,21320,16078,68638,-77908,30223,28803,93392,51198,-80593
