,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,442,529,361,498,692,746,634,550,599,788,707,811
Cash from Investing Activity,8,-219,55,-56,-214,-482,-133,16,-202,25,-574,87
Cash from Financing Activity,-351,-359,-426,-423,-468,-225,-473,-523,-411,-872,-77,-684
Net Cash Flow,100,-49,-9,19,10,39,29,43,-14,-60,56,214
