,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4492,4785,5471,5531,6451,7588,9800,8781,6621,10567,12691,15133
Cash from Investing Activity,-3499,-3269,-3955,-3807,-3236,12007,2396,-1092,-2648,-2435,846,6558
Cash from Financing Activity,-1242,-1255,-1577,-1902,-3214,-11266,-18612,-9630,-2098,-9697,-12258,-23224
Net Cash Flow,-248,261,-62,-178,1,8329,-6416,-1941,1875,-1565,1279,-1533
