,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,3427,3618,3455,4190,4526,5005,3888,5956,8972,12500,9283,9069
Cash from Investing Activity,-3050,-4362,-2342,-2144,-3673,-2501,1866,1165,-4192,-8856,2257,-7188
Cash from Financing Activity,-353,715,-949,-2110,-844,-2535,-5735,-6757,-5076,-4356,-12498,-1631
Net Cash Flow,24,-30,164,-63,8,-31,18,364,-295,-712,-958,250
