,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,246,320,671,584,959,441,1249,1156,1485,1876,1300,2526
Cash from Investing Activity,-65,28,-246,-450,-705,-150,-957,-852,-1526,433,914,-1507
Cash from Financing Activity,-168,-378,-357,-181,-246,-295,-232,-353,58,-2242,-2246,-1028
Net Cash Flow,13,-30,68,-47,8,-4,60,-49,17,66,-32,-9
