,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-19381,-5847,4211,-21281,-34435,17282,17214,-62872,-16869,42476,-11960,20814
Cash from Investing Activity,-662,-902,-1099,-800,-837,-1146,-842,-1503,-1403,-1823,-2051,-2992
Cash from Financing Activity,11380,13105,9270,18694,37815,-5893,57378,23131,24394,-7321,48124,23941
Net Cash Flow,-8663,6356,12382,-3387,2542,10242,73750,-41244,6122,33332,34113,41762
