,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,4459,5687,6230,6739,9868,7388,9703,5943,6883
Cash from Investing Activity,,,-3514,-3962,-5177,-4421,-10182,-7789,-8952,-801,-10071
Cash from Financing Activity,,,-168,-212,-236,-196,-337,38,678,-238,1985
Net Cash Flow,,,777,1513,817,2122,-651,-364,1429,4904,-1203
