,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,0,0,0,0,0,2,0,0,0,0
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,0.0,0,0,0,0,0,2,0,0,0,0
Working Capital Days,-22.0,-11,-11,-27,-20,-25,-16,-17,-13,-11,-12
ROCE %,,49,41,36,31,31,23,24,20,12,10
