,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,88,81,74,66,73,72,81,81,89,98,99,113
Inventory Days,,,0,,,,0,6,8,,2,1
Days Payable,,,,,,,,205,212,,244,202
Cash Conversion Cycle,88,81,74,66,73,72,81,-117,-116,98,-143,-88
Working Capital Days,35,40,22,10,26,54,59,69,75,56,50,78
ROCE %,25,22,48,60,71,56,57,51,35,40,48,48
