,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,16,20,16,17,24,27,24,31,22,21,19,16
Inventory Days,97,83,98,136,135,147,118,123,130,160,208,130
Days Payable,162,155,141,175,207,172,149,137,169,171,190,149
Cash Conversion Cycle,-50,-52,-26,-23,-48,2,-7,17,-17,9,36,-4
Working Capital Days,-108,-66,-44,-49,-84,-34,-25,-36,-53,-24,8,-12
ROCE %,14,11,13,10,5,14,18,20,9,15,28,8
