,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,338,480,557,826,1038,1150,776,954,1216,1947,1912,2460
Cash from Investing Activity,-204,-255,-305,-521,-406,-1140,-478,-685,-83,75,-2195,-2708
Cash from Financing Activity,-131,-231,-248,-303,-631,2,-314,-246,-1091,-35,-532,-797
Net Cash Flow,3,-5,3,3,0,13,-17,23,41,1987,-816,-1045
