,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-90,31,-46,-10,109,102,77,21,361,285,58,595
Cash from Investing Activity,-137,-276,-48,-306,-98,-44,-4,-37,-809,18,56,-103
Cash from Financing Activity,207,147,-50,310,-13,-51,-74,37,452,-283,-108,-491
Net Cash Flow,-20,-97,-145,-6,-2,7,-1,21,5,20,6,1
