,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1200,1379,1132,3057,2381,4063,5608,6029,7402,7556,10420,11933
Cash from Investing Activity,-13876,-5136,-2510,-2485,-4153,-2629,-3846,-4368,-749,-14064,-5493,-16939
Cash from Financing Activity,12976,4138,772,-237,2170,-1325,-1889,2313,-4256,3514,-586,-2734
Net Cash Flow,300,381,-606,335,398,109,-127,3975,2397,-2994,4341,-7739
