,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,179,-1539,-569,1434,2260,-61,-687,1514,2570,5093,4207,1267
Cash from Investing Activity,-953,1753,759,-839,-1470,3115,-6,-896,-649,-2595,-4872,2691
Cash from Financing Activity,-239,-158,-213,-209,-318,-2857,-1202,-663,-1061,-1076,-1078,-1313
Net Cash Flow,-1014,56,-23,386,472,197,-1895,-45,861,1422,-1742,2645
