,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,31,34,33,32,30,35,38,36,32,44,49,49
Inventory Days,118,122,121,123,108,138,117,119,127,134,142,121
Days Payable,98,96,102,84,84,101,95,90,80,119,96,71
Cash Conversion Cycle,51,60,52,70,54,72,60,65,79,59,94,99
Working Capital Days,11,13,11,20,21,35,32,30,43,46,69,66
ROCE %,51,47,45,42,42,38,36,33,33,34,29,34
