,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2655,4059,4995,6449,8482,10282,11788,6601,3496,8856,1840,9251
Cash from Investing Activity,-3181,-3119,-4997,-4491,-7230,-9173,-8302,-3540,-557,-7291,-239,-8036
Cash from Financing Activity,610,-979,-74,-2004,-1237,-1129,-3436,-2948,-3104,-1545,-1607,-1213
Net Cash Flow,84,-39,-76,-45,16,-20,50,113,-165,20,-6,2
