,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,10,13,12,8,8,6,7,10,10,7,8,10
Inventory Days,24,21,20,28,30,25,21,20,22,22,20,18
Days Payable,44,47,57,57,70,65,70,59,51,73,54,50
Cash Conversion Cycle,-11,-14,-25,-20,-32,-33,-42,-29,-20,-44,-26,-22
Working Capital Days,-16,-7,-18,-26,-27,-33,-40,-29,-19,-47,-29,-23
ROCE %,12,15,16,19,23,24,24,19,9,11,6,14
